,video_id,comments
128,zxIaE_5_jl4,"[""Bro , can you keep online classes\nIt helps a lot \nHope you'll see this comment!❤"", ""I don't understand,are u saying  like not to sort the input or something like that??"", '❤', 'Chatgpt is father of dsa', '@takeuforward whether to start with SDE sheet first or to finish topic wise playlist?', ""So I can't sort the array??"", 'Thank you for your valuable suggestion, bro ❤', 'A good developer should know this.', 'Pass by value ,pass by reference ka concept use Karo bhaiya 🗿', '@striver please make playlists on strings & selected dp']"
129,2D0D8HE6uak,"[""Note: Please don't use the given array to solve the problem, modifying the input is highly discouraged in an interview. \n\nWhy? Imagine I give you user data, and ask you to do a task for me using that data, will you modify that data in order to do it? No right, unless I ask you to do so, then only you should."", ""Bro , usually I don't do comments in any videos ..but this video's forces me to do...top notch content , understood all the 4 algorithm!!❤🎉"", 'Understood Thanks Sir!', 'what if 5 is repeating and 6 is missing both will be in 1 bit segregate then it will be 5^6 in 1 bit part. Please explain', 'Understood', 'understood', 'Understood', ""I know Im Quite late guys, but to understand WHY he needed the BitNumber\n\nThe bit number is used to split X and Y into two different groups (One and Zero) \nand if all the numbers in each of the groups are XOR'ed, our required numbers X and Y are left behind. \n\nit doesnt matter if X^Y have many different bits, any of them will work to solve our problem"", 'understood :)', 'tooooo goood']"
130,0ADWhxoxzSQ,"['This guy is the reason why I am at Google today, that too as a new grad', 'Wow', 'He is G.O.A.T Of DSA', 'Bhaiya aap bahut cute 🥰 lg rhe ho', '❤', 'I saw him first time talking in hindi 😮', 'your motivation hits hard.', 'This is called straight forward motivation ❤️👏', 'King of DSA scene', '❤👌']"
131,n7uwj04E0I4,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=n7uwj04E0I4', 'in case gap is odd , take the ceiling', 'Hi Raj,\n\nHow come the 1st optimal solution be optimal solution at all, when sorting method itself takes O(log n) of extra space? And, because of this the TC of 1st optimal solution is worse than Brute Force solution but the SC is better.', 'understood :) Thanks a lot.', 'Understood', 'Understood', 'my simple approach is\n1. merge two arrays \n2. sort once the final array - to get answer', 'Understood.', 'Why is it not needed to swap 7 and 6 at 19:59 ? 7 is greater than 6, so we must swap 7 and 6. Or am I getting anything wrong ?', 'I wonder how can someone come up with something like gap method +__+']"
132,IexN60k62jo,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=IexN60k62jo', 'Understood', ""I think you don't need to explain bruteforce because its mostly similar."", 'understood :)', 'Understood ❤', 'while i was staring at the question i did my self come up with the optimal solution.', 'Understood', '18:35 no you are not', 'is it mandatory to give optimal solution in interview', 'Understood! but took lot of time.']"
133,eZr-6p0B7ME,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=eZr-6p0B7ME', 'Understood!!', 'Understood', 'UNderstood', 'Understood ❤', 'What to do it xor -> and😢', 'The Best explanation I get. Yesterday only encounter a question in contest Subarray with AND k. So instantly came here to learn.', '7:40', 'Great', 'understood']"
134,6aGNKzh23Lw,"['thankyou', 'Helpful', ""This man's each words are 100x useful"", 'Thanks 👍', 'Bro it has a drawback, it hides every part of webpage which has less opacity, even if it is 0.8 or 0.9. \nNot appropriate', 'Bruh', 'Using it for a long time. Works really well in TUF', 'which tech stack you use to build your resume projects. please tell  me', 'Dark Reader', 'Thanks Bro❤']"
135,eD95WRfh81c,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=eD95WRfh81c', 'Mark for revision', 'Striverr bhai ke liye toh 10some bhi asaan hai...Jokes apart hes the best teacher on youtube', ""Can't we sort the whole list initially rather than sorting it again and again in brute force?"", 'thank you', 'What about Time complexity for sorting the arrray? I know it will be lesser than N3 in this case. But still good to mention that!. Thanks for putting all the hard word!.', 'Understood', ""Hi Raj, there are 2 slight mistakes in your optimal solution. \n\n1: The 1st for loop will run till n-3 and 2nd for loop will run till n-2 instead of n, because we need to allocate last 2 elements to our two pointers and as per your code when i=n-2, j becomes n-1 (j=i+1=n-2+1) and num[k] throws out of bound exception, because k becomes n(k=j+1) \n2: We could also increment low and decrement high when sum<target and sum>target respectively until there are duplicates for code to be more optimised.\n3: Here's the more readable code(JAVA):\n\nclass Solution {\n    public List<List<Integer>> fourSum(int[] nums, int target) {\n        int n = nums.length;\n        List<List<Integer>> result = new ArrayList<>();\n        Arrays.sort(nums);\n        \n        for(int i=0; i<n-3; i++) {\n            if(i==0 || nums[i]!=nums[i-1]) {\n\n                for(int j=i+1; j<n-2; j++) {\n                    if(j==i+1 || nums[j]!=nums[j-1]) {\n\n                        twoSum(nums, i, j, result, target);\n                    }\n                }\n            }\n        }\n        return result;\n    }\n\n    public void twoSum(int[] nums, int i, int j, List<List<Integer>> result, long target) {\n        int low = j+1, high = nums.length-1;\n        Long sum = null;\n\n        while(low < high) {\n            sum = (long)nums[i]+nums[j]+nums[low]+nums[high];\n\n            if(sum < target) {\n                low++;\n                while(low<high && nums[low]==nums[low-1])\n                    low++;\n            } else if(sum > target) {\n                high--;\n                while(high>low && nums[high]==nums[high+1])\n                    high--;\n            } else {\n                result.add(Arrays.asList(nums[i], nums[j], nums[low], nums[high]));\n                low++;\n                high--;\n                while(low<high && nums[low]==nums[low-1])\n                    low++;\n                while(high>low && nums[high]==nums[high+1])\n                    high--;\n            }\n        }\n    }\n}"", 'Understood', 'Understood']"
136,worGgFJA1m0,"['Alternatively you can use .dev too :)', 'Or just hit “.” In your keyboard when in the page', 'you can also press . (the period button) when you are in a github repo to get the same result', 'Cool...🤗', ""Isn't that the same with new view on GitHub already?"", 'Thanks 👍', 'Bhai ye sab pata h kuch New bata', 'Bro please mic use kar liya karo', ""It's open in read only mode, not able to edit 😕"", 'There is a chrome extension called octotree, which serves the same purpose']"
137,DhFh8Kw7ymk,"[""Please do give us a like and subscribe, it won't cost you anything, but it will motivate me to make such kind of content more and more."", 'Understood', 'yesssss', 'Dry run 🔥', 'thanks', 'Understood!\nI went somewhere near the optimal approach but wasnt able to come up with the concrete solution', '9 July- L20 completed(took a lot of time tho ) dont know if I will be able to complete my target on time.', 'thank you', 'Amazing explanation', 'Too good man, more and more kudos to you for such explanation. now im getting grip on building logic...finally.']"
138,EPx-ZDciIpc,"['They fixed it now. It still happens sometimes but not as often.', ""For me I didn't see such large variance. Also everyime I submit, I check first 2-3 bars and see why their code works fater than mine. If i find some optimisation that makes sense, then I update my code with it. Mostly it will reach that bar when i submit again."", 'O think of u are the first one to submit the solutions then I will always beat 100%', 'Face assymetry', 'Bro why my runtime increases if I submit the same answer 😅', 'Damn its not a scam, there are a lot of factors when you a submit a problem such as the network speed, etc, this is why you see such variance.', 'already know😊', 'Excellent work', 'So true i mean it makes me so angry', 'I realized this on the second day of Leetcode itself.']"
139,vwZj1K0e9U8,"['Do give us a like, it won\'t cost you anything, but it will motivate me more. Also don\'t forget to comment ""understood"" if you did.', 'understood', ""Sir, in the optimal approach, we hv taken two separate variables for storing the two majority elements. And here the array size is just 8. What if the array size is 10 or something. In that case, we can hv more than 2 majority elements. How can Moore's voting algorithm be applied in that case."", 'understood', 'Yup nice', 'Sir the brute approach is not working instead if the ls[0] we have to use the find(ls.begin() , ls.end() , nums[i]) != ls.end()', 'understood', 'understood', 'Understood!', 'Understood']"
140,DTDWwLSmRBk,"['Striver bhaiya ki jai ho', 'Totally agree with Bhaiya', 'Please in English', 'Interviewer bhi itni budhha nhi hte me bhi kiya tha par phirse interview schedule kraya tha', 'bhai agar bade projects pe kaam krne ka itna hi shauk hai to Startups join kro EZ', 'Summary: Don\'t chase ""success"". Excellence ke peeche bhaago... Success jhak maar ke peeche aegi. 🤘😎', ""He just wanted to say that focus on learning more. That's itm and focus on money you will make in long run instead of short term. Which means if you are already earning decent amount of money and switching just for little hike, you have to start again at new place. In your company, you kust have understood a lot of things but in new company learning how things work and setting up will take time."", 'bat sahi hai', 'I had this phone in 2010, what a phone, brings back old memories. Wifi, front camera, touch and keypad, looks, design, this phone was way ahead of its time', 'You people ❤']"
141,Wsys6ThsAO0,"['Your videos are very helpful', ""if you cannot convert the code into your preffered language then it means you didn't understood the code"", 'I used this once when my Java code was showing compilation error in one case and passed all others. I just converted it into a C++ code :)', 'doing in leetcode for long while.', 'the best', '💕❤️', 'Omg i am literally going through this thanks alot', ""And also, it does dry run beautifully. Don't missout on this great tutor guys. Use it fully."", '& Do not forget to add ""please "" before the prompt.', 'You are horrible for saying that. People got chatgbt mixed up yes it can write a script for you but it’s more meant to be coded with cuz it will mess up a few times']"
142,bR7mQgwQ_o8,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=bR7mQgwQ_o8', 'understood', 'Samaj aa gaya!!', 'understood', 'Why this is so confusing 😢', 'understood :)', 'Understood', '10 rs ki pepsi striver bhai ki explaination sexyyy!!!', ""Can someone please explain how you intuitively figure out that a formula like the binomial coefficient needs to be used in a problem like this? I can't see how it would occur to me unless I've memorized it."", ""I'm unable to pass test cases more than 22 with all of this approach in java, I've used (long), I've separated numerator and denominator instead of ans, still not able to reach all 30 test cases.""]"
143,AajeP_e_-oU,"['Is this still available ??', 'Helpful, thanks.', 'Bhaii not working😢', 'wtffffffffffffff', 'Sir the extension is Blocked please tell if you know any other way please 🥺', 'bhai ab kaam hi kr rha hai ye extension', 'this extension is not working', '🎉🎉🎉🎉🎉🎉🎉🎉🎉', 'Awesome', 'Big omega extension']"
144,xvNwoz-ufXA,"[""i can think of brute and better solution but optimal can't be thought all by myself but is too confusing"", 'This was too confusing', 'Understood', 'Why cant we use sliding window approach here', ""i still don't get the significance of (0,1) in the map, my answer still got submitted in Leetcode."", 'Storing (0,1) in the hashmap is bit confusing, instead we can just increase a check i.e. if(currSum == k) count++. The more readable code(JAVA) will look like this:\n\npublic int subarraySum(int[] nums, int k) {\n        int currSum = 0, count = 0;\n        int n = nums.length;\n        HashMap<Integer, Integer> map = new HashMap<>();\n\n        for(int i=0; i<n; i++) {\n            currSum += nums[i];\n\n            if(map.containsKey(currSum-k))\n                count += map.get(currSum-k);\n\n            if(currSum == k)\n                count++;\n\n            if(map.containsKey(currSum))\n                map.put(currSum, map.get(currSum)+1);\n            else\n                map.put(currSum, 1);\n        }\n\n        return count;\n    }', 'Thank you Striver. I owe you❤', 'Why initialize map with 1,0 in the beginning?', 'Understood!', 'for me optimal is little hard but after see 2-3 time video , got easly understand']"
145,3Zv-s9UUrFM,"['understood', 'thnx', 'understood👍', 'Samaj aa gaya!!', 'i have a doubt\ni want to know which is the optimal code  and why:-\nCode 1 :-\nclass Solution {\r\npublic:\r\n    int MaxValue(vector<int> arr, int start) {\r\n        int maxi = max(arr[start], max(arr[start + 1], arr[start + 2]));\r\n        return maxi;\r\n    }\r\n\r\n    vector<vector<int>> largestLocal(vector<vector<int>>& grid) {\r\n        vector<vector<int>> Result;\r\n        int n = grid.size();\r\n        for (int top = 0; top + 2 < n; top++) {\r\n            vector<int> temp;\r\n            for (int pos = 0; pos + 2 < n; pos++) {\r\n                int max1 = MaxValue(grid[top], pos);\r\n                int max2 = MaxValue(grid[top + 1], pos);\r\n                int max3 = MaxValue(grid[top + 2], pos);\r\n                int maxed = max(max1, max(max2, max3));\r\n                temp.push_back(maxed);\r\n            }\r\n            Result.push_back(temp);\r\n        }\r\n\r\n        return Result;\r\n    }\r\n};\nCode 2:-\nclass Solution {\r\npublic:\r\n    vector<vector<int>> largestLocal(vector<vector<int>>& grid) {\r\n        int n = grid.size();\r\n        vector<vector<int>> Result(n - 2, vector<int>(n - 2));\r\n        \r\n        // Iterate over each possible 3x3 subgrid\r\n        for (int i = 0; i < n - 2; ++i) {\r\n            for (int j = 0; j < n - 2; ++j) {\r\n                int maxVal = 0;\r\n                \r\n                // Find the maximum value in the current 3x3 subgrid\r\n                for (int k = i; k < i + 3; ++k) {\r\n                    for (int l = j; l < j + 3; ++l) {\r\n                        maxVal = max(maxVal, grid[k][l]);\r\n                    }\r\n                }\r\n                \r\n                Result[i][j] = maxVal;\r\n            }\r\n        }\r\n        \r\n        return Result;\r\n    }\r\n};', 'Thanks bro !!', 'understood! amazing explanation!!', 'please try this too \nhere\'s a an approach with lesser variables used but i used the same logic\n\n#include <bits/stdc++.h>\nusing namespace std;\n\nint main() {\n    \n    int n;\n    cin>>n;\n\tint a[n][n];\n\tfor (int i=0; i<n; i++){\n\t    for (int j=0; j<n; j++){\n\t        cin>>a[i][j];\n\t    }\n\t}int cnt=0;\n\tif (n%2==0)\n             cnt=n/2;\n        else \n             cnt=1+n/2;\n\n\tfor (int i=0; i<=cnt; i++){\n\n\t    for (int j=i; j<n-i-1; j++)\n\n                    cout<< a[i][j ]<<"" "";\n\n\t    for (int j=i+1; j<n-i-1; j++)\n\n                     cout<<a[j][n-i-1]<<"" "";\n\n\t    for (int j=n-i-1; j>=i; j--)\n\n                     cout<<a[n-i-1][j]<<"" "";\n\n\t    for(int j=n-i-1; j>i+1; j--)\n\n                     cout<<a[j][i]<<"" "";\n\n\t}\n}', 'Understood', 'A different while condition \n\n\nclass Solution {\r\npublic:\r\n    vector<int> spiralOrder(vector<vector<int>>& matrix) {\r\n        int n = matrix.size();\r\n        int m = matrix[0].size();\r\n\r\n        vector<int> ans;\r\n\r\n        int top = 0;\r\n        int bottom = n - 1;\r\n        int right = m - 1;\r\n        int left = 0;\r\n        int count = n * m;\r\n\r\n        while (count>0) {\r\n\r\n            for (int i = left; i <= right && count; i++) {\r\n                ans.push_back(matrix[top][i]);\r\n                count--;\r\n               \r\n            }\r\n            top++;\r\n\r\n            for (int i = top; i <= bottom && count; i++) {\r\n                ans.push_back(matrix[i][right]);\r\n                count--;\r\n            }\r\n            right--;\r\n\r\n            for (int i = right; i >= left && count; i--) {\r\n                ans.push_back(matrix[bottom][i]);\r\n                count--;\r\n            }\r\n            bottom--;\r\n\r\n            for (int i = bottom; i >= top && count; i--) {\r\n                ans.push_back(matrix[i][left]);\r\n                count--;\r\n            }\r\n            left++;\r\n        }\r\n        return ans;\r\n    }\r\n};']"
146,Z0R2u6gd3GU,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=Z0R2u6gd3GU', 'limit of i for transpose should be i<=n/2. Anyway, it also works for i<n-1. thank you. Understood.', 'We can also find a pattern i.e. i -> j and then j -> n-i-1', 'Understood', 'I also came up with the transpose approach very happy 😁😁', ""I am confused with the time complexity of first loop of optimal solution, I think it is O(n^2). Can anyone please explain, what's correct?"", '8 July completed L15', 'I didn’t understand how is the time complexity N/2 * N/2 for the first part', 'why it cannot be done like this:\nvoid rotateMatrix90(vector<vector<int>> &mat)\r\n{\r\n    int n = mat.size();\r\n    int m = mat[0].size();\r\n    int left = 0, right = m - 1;\r\n    int top = 0, bottom = n - 1;\r\n    vector<int> ans;\r\n\r\n    while (left <= right)\r\n    {\r\n        for (int i = bottom; i >= top; i--)\r\n        {\r\n            cout<<mat[i][left]<<"" "";\r\n        }\r\n        left++;\r\n    }\r\n}\nwhat is wrong in this code?', 'Understood']"
147,N0MgLvceX7M,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=N0MgLvceX7M', 'STRONG SUGGESTION for ease of understanding: In the better/optimal solution instead of doing the second iteration over the entire matrix just iterate over the rows and cols marked for 0-conversion (except the first row/col) and convert the elements to 0. In optimal just keep two separate variables like row0 and col0 and convert the first row/col at the very end (after all the other row/cols) are processed.', 'Understood', 'Dear Fellow Coders & Hustlers,\n\nCode for [[-1],[2],[3]] like cases with already existing -1 values follows:\n\n\r\nclass Solution:\r\n    def setZeroes(self, matrix: List[List[int]]) -> None:\r\n        """"""\r\n        Do not return anything, modify matrix in-place instead.\r\n\r\n        r = row index\r\n        c = col index\r\n        cre = change row element\r\n        ccr = change column element\r\n\r\n        Strivers brute solution could not handle [[-1],[2],[3]] case\r\n\r\n        I appended the solution with hmap to track the change if there we made change in element value,\r\n        then index of that element (r*10 + c) will be added to the hmap with value 1\r\n\r\n        A2SC = addition to striver code  \r\n\r\n        """"""\r\n\r\n\r\n        hmap={} #A2SC\r\n        def cre(r):\r\n            for c in range(len(matrix[0])):\r\n                if matrix[r][c]!=0:\r\n                    matrix[r][c]=-1\r\n                    hmap[r*10+c]=1 #A2SC\r\n\r\n        def cce(c):\r\n            for r in range(len(matrix)):\r\n                if matrix[r][c]!=0:\r\n                    matrix[r][c]=-1\r\n                    hmap[r*10+c]=1  #A2SC\r\n            \r\n        for r in range(len(matrix)):\r\n            for c in range(len(matrix[0])):\r\n                if matrix[r][c]==0:\r\n                    cre(r)\r\n                    cce(c)\r\n\r\n        for r in range(len(matrix)):\r\n            for c in range(len(matrix[0])):\r\n                if matrix[r][c]==-1 and (r*10+c) in hmap.keys(): #A2SC: latter part\r\n                    matrix[r][c] = 0 \r\n\r\n        return matrix', 'Understood', 'mind got blown with the optimal approach', 'superb', 'in Leetcode brute force problem there is a test case having matrix value as -1 which may cause a problem while changing -1 values in the  matrix', 'what if in the brute force solution there exists alreadyd -1 in the matrix ..like problem which is on the leetcode can have -2^31 to +2^31 like interger range what to do in that case ?', 'Understood']"
148,oO5uLE7EUlM,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=oO5uLE7EUlM', 'understood', ""Why can't we choose an ordered set ???"", 'Thank you striver , Very well explained and Time complexity part was amazing.', 'Understood', 'Understood!', 'optimal was confusing..', 'Understood', 'Understood', 'Hi Raj, the TC for the BF solution should be O(n^3) and not O(n^2) since there are 3 nested loops and inner while loop will run for nearly n times and same goes for the function that does the linear search.']"
149,LSd6yCRsIvs,"['The proof for the last question. \n\nSInce the friend has seen that the array just has digits with remainders of 1 and 0, he will not allow me to make a sum of 0 for the first three turns. \n\nAnd then he can easily win, if he has done that.. .\n\nIf I start with 0, friend will put 1\nif I start with 1, friend will put 0 always in the next turn\n\nYou can try out all the examples in this way, and he will always win after 6 turns....', '40:54😂', ""I don't understand how people solve their questions in 4s, 5s and 6s ... like its not humanely possible bro"", 'Nice keep going 👍', 'thank you bro', 'proof for n%6 friend will always choose opposite to what we have choosen previously by end we get 3 1s ,3 0s friend will win', 'Sir main DSA k roadmap k follow karte hue HashMap mai hoon abhi.....par jab kal ye contest mai bhaitha toh i was complete hanged ..... i dont know kya galti kar raha main.... jo jo tutorial mai question samjhaya jata hai wo main easily 2-3 platform pe code kar leta hoon ...........but jab kal ye contest mai bhaitha toh i was mind washed .........please help', 'Brother how much time might take to complete Arrays and searching questions in the sheet please finish them quickly was waiting for them😢😢😢', 'hats off to the dedication man', 'Bhai yellow re pura jalucha 🎉🥳😎 pura hero']"
150,cHrH9CQ8pmY,"[""You don't need to sort the answer, as it will store the answer in the sorted order only when taken from back. \nLet's march ahead, and create an unmatchable DSA course! ❤\nUse the problem links in the description."", 'understood', 'Got the optimal approach before thinking about the brute force approach 😅', 'Awesome!! Great!! Excellent!!', 'understood', 'No Need to sort again because answer will automatically will be in sorted order.', 'Just a small thing that I want to share what I observed in this question is that, even if question is asking to return the answer array in sorted way, we dont need to apply sorting because since we are taking elements from right to left and according to question a leader must be greater than all elements occuring at right, so the answer array will automatically will be in a sorted order. so Overall Time complexity will only be just O(N).\nI hope I am able to explain my observation.', 'Understood', 'understood', 'understood']"
151,JDOXKqF60RQ,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=JDOXKqF60RQ', '😍', 'Awesome observation', 'thank you so much for your efforts sir', 'Thank you striver for explaining this hard problem', 'understood', 'Thank you', 'amazing explanation . the way you explained it is  phenomenal.', 'Amazing work. Thanks.', 'in leetcode .....getting error in line  ... return nums; .... it says ""void function \'nextPermutation\' should not return a value""']"
152,h4aBagy4Uok,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nUse the problem links in the description."", 'striver rocks', '🔥🔥🔥🔥🔥🔥', 'Found the optimal solution on my own :)\nGreat series Striver!', 'understood👍', 'understood', 'understood', 'class Solution {\r\npublic:\r\n    vector<int> rearrangeArray(vector<int>& a) {\r\n        int n = a.size();\r\n        int i = 0;\r\n        int j = 0;\r\n        bool pos = true;\r\n        while (j < n) {\r\n            if ((pos && a[i] > 0) || (!pos && a[i] < 0)) {\r\n                ++i;\r\n                ++j;\r\n                \r\n            } else {\r\n                while (true && j<n-1) {\r\n                    ++j;\r\n                    if ((pos && a[j] > 0) || (!pos && a[j] < 0)) {\r\n                       \r\n                        swap(a[i], a[j]);\r\n                        break;\r\n                    }\r\n                }\r\n                ++i;\r\n                j=i;\r\n            }\r\n            pos = !pos;\r\n        }\r\n        return a;\r\n    }\r\n};\n\nTried to do in o(1) space \nOnly passed 30 tcs', 'Can it be solved in O(1) space complexity?', 'MY APPROACH FOR FIRST KIND\n\n#include<iostream>\n#include<bits/stdc++.h>\nusing namespace std;\nint main()\n{\n    vector<int>arr={3,1,-2,-5,2,-4};\n    int even=0;\n    int odd=1;\n    for(int i=0;i<6;i++)\n    {\n        if(arr[even]>0)\n        {\n            even=even+2;\n        }\n        else if(arr[odd]>0||arr[even]<0)\n        {\n            swap(arr[odd],arr[even]);\n            odd=odd+2;\n            even=even+2;\n        }\n        else\n        {\n            odd=odd+2;\n        }\n        \n    }\n    for(int i=0;i<6;i++)\n    {\n        cout<<arr[i]<<"" "";\n    }\n    return 0;\n}']"
153,AHZpyENo7k4,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=AHZpyENo7k4', 'For subarray [-1], it will still give output as 0. \nCan you please look into this edge case?', 'Understoood', 'us', '❤', 'Very detailed explanation, it is language agnostic as well, thanks for the video', 'Understood😀', 'understood👍', 'understood', 'understood']"
154,nP_ns3uSh80,"['Please watch our new video on the same topic: https://www.youtube.com/watch?v=vwZj1K0e9U8', 'understood🥰🥰🥰🥰🥰best  DSA videos everr', 'understood ', 'Understood', 'Optimal solution is mostly a new algorithm or some crazy approach 😅', 'thank you striver', 'understood👍', 'Understood!!!🙏', 'understood', 'Amazing work. Respect!!']"
155,tp8JIuCXBaU,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nUse the problem links in the description."", 'Such crisp explanation with such simplicity, mind boggling!', 'Understood', ""An alternate solution as well: use the solution from the problem 'move zeros to the end of array'. Make it a generic function to move any element k to the end of the array. Call it twice, once with k = 1 and then with k = 2. The array will be sorted. It's not the most optimal solution but does the job in O(n) time and constant extra space."", 'Just Brilliant', 'Finally understood the DNF algorithm properly', 'best lecture on this question.', 'Understood!!!🙏', 'understood', 'Understood']"
156,UXDSeD9mN-k,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nTimestamps pleaseeee\n\nUse the problem links in the description."", 'thank you anna', 'Raj bhaiya, if we apply binary search for I+1  to aaray size for every I it also give result in nlogn', '10:36\nmpp.insert({nums[i], i}); is more optimised than\r\nmpp[num] = i; (used in video)', 'understood', 'Man after watching the first 5 videos and solving the problems on my own , I was also able to solve almost all medium and some hard problems. Watching these videos really built my logic , these lectures are a gold mine.', 'understood', 'Samaj aa gaya!!', 'understand', 'understood']"
157,frf7qxiN2qU,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nTimestamps pleaseeee\n\nUse the problem links in the description."", ""it was soo tought for me... i was loosing my self confidence... i was be like shayd ye mujhse nhi hoga but then i saw a comment of a guy who said that his condition was same and he gave his whole day to this then i started again and after 3.5 hrs i got it. So don't give up just be ready to give extra efforts"", 'I dont if im on right track , But It was hard for me to even think about brute and better solution , The first thought came to my mind was the optimal solution discussed in the video , am i doing a mistake ignoring worst solutions ? Anyone .', 'Understood bhaijaan', 'understood', 'a wonderful question and a wonderful explaination.', 'understood', 'Understood the optimal solution, not the better one :(', 'understood!!!', 'if anyone wondering why cant we write else if(sum>K){ rem code}.. take this example nd dry run A = [-1, 2, 9, -7, 3, 4] and K = 7 you will get it.']"
158,TKeTRUlCtqg,"['Thank you for the crystal clear explaination of the hard problem ,It is a little difficult to interpret the question at first.', 'Awesome bro', 'make editorial video of weekend contest 60 also', 'Hey!!, please Give me a genuine answer, is it possible to crack Google just with leetcode with less experience in CP ?', 'sir leetcode contest instead please', 'If this is a regular thing then I will start giving Codestudio Weekend Contest', 'Yeah 🎉', 'bro said why is he looking so black, racist mf', 'awesome 😃😃😃']"
159,bYWLJb3vCWY,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nUse the problem links in the description."", 'Understood', 'maza aa gaya .❤', 'Another solution where u dont use any additional space for finding the missing number \tpublic static void main(String[] args) {\n\t\tint matrix[] = { 1, 2,3, 5,6,7 };\n\n\t\tfor (int i = 0; i < matrix.length -1; i++) {\n\t\t\tif (matrix[i+1] - matrix[i ] != 1) {\n\t\t\t\tSystem.out.println(matrix[i] + 1);\n\t\t\t\tbreak;\n\t\t\t}\n\t\t}\n\n\t}', 'understood', '28:14 hashing approach fails for array containing -ve integers', 'i dont understand why is the sc is o(1) in the last example while we are creating a new array ans[ ]', 'Extraordinary way of teaching. I never thought I would be able to solve all these questions quickly. Thanks man', 'understood', 'understood']"
160,wvcQg43_V8U,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nTimestamps someone please :) \n\nUse the problem links in the description."", ""in rotate arr by k place isn't the TC O(n)?\n0:26:36\n@takeUforward"", '""THERE IS A ONLY ONE KING IN DSA""', 'Understood', 'I guess I have an approach for ""better"" solution for ""Move zeroes to end"" ( 27:13 ) , correct me if i\'m wrong but this is what I got, with T.C O(N+C)\n int count = 0;\n    for(int i=0;i<n; i++){\n        if(arr[i] == 0) count++;\n       else arr[i-count] =arr[i];\n    }\n    for(int i=n-count;i<n;i++) arr[i] = 0;\nand it works pretty well!', 'best explaination for optimal intersection approch 🤣🤣', 'Understood', 'Understood\n!!', '//Brute force Approach for right rotation by K places\r\nvoid reverse(vector<int> &arr, int low, int high){\r\n     vector<int> temp;\r\n     for(int i = 0;i < n-k;i++){\r\n         temp.push_back(arr[i]);\r\n     }\r\n\r\n     for(int i = n-k;i < n;i++){\r\n         arr[i-(n-k)] = arr[i];\r\n    }\r\n\r\n     for(int i = k;i < n;i++){\r\n         arr[i] = temp[i-k];\r\n     }\r\n }\r\n\r\n\r\n//Optimal Approach for right rotation by K places :\r\nvoid reverse(vector<int>& arr, int low, int high){\r\n    while(low <= high){\r\n        int temp = arr[low];\r\n        arr[low] = arr[high];\r\n        arr[high] = temp;\r\n        low++;\r\n        high--;\r\n    }\r\n}\n\r\nvoid rotate(vector<int>& arr, int k) {\r\n    int n = arr.size();\r\n    k = k % n;\n\r\n    reverse(arr, n-k, n-1);\r\n    reverse(arr, 0, n-k-1);\r\n    reverse(arr, 0, n-1);\r\n}\n\nHope it Helps. :)', 'For right rotation its same and simple just  start and end position changed..\n reverse(arr, n-d, n-1);\n       reverse(arr, 0, n-d-1);\n       reverse(arr, 0, n-1);\n       return arr;']"
161,37E9ckMDdTk,"[""Let's march ahead, and create an unmatchable DSA course! ❤\n\nUse the problem links in description."", 'Understood', 'understood', 'if you use set for duplicates it wont be sorted when you take from the set', 'Please make a video on strings topic too.', 'In your solution code in Java, Take LinkedHashSet instead of HashSet because in HashSet, Insertion order is not preserved and in case of LinkedHashSet Insertion order is preserved.', 'understood', 'understood..👍👍', 'I am a newbie , I was wondering do i have to do ques that are mentioned in his SHEET as some of them are different and tougher for me???', 'I have a question regarding the second largest element in an array. If the question specifies that the array contains unique elements and has a length greater than 2, can we conclude that the (n - 1) element will be the second largest?']"
